epoch,train_loss,train_acc,clean_acc,cert_acc
10,,,26.08,20.18
20,,,27.05,21.75
30,,,28.74,23.50
40,,,29.75,24.39
50,,,30.30,24.61
60,,,30.33,25.05
70,,,30.08,25.05
80,,,30.33,24.87
90,,,30.58,25.25
100,,,30.55,25.49
110,,,30.76,25.61
120,,,30.70,25.67
130,,,30.79,25.64
140,,,30.94,25.69
150,,,30.83,25.72
160,,,30.88,25.78
170,,,30.84,25.89
180,,,30.80,25.91
190,,,30.81,25.84
200,,,30.80,25.86
